666,宮崎 南部山沿い,90,407,12,16,97,414
670,鹿児島 薩摩,49,402,44,36,75,416
675,鹿児島 大隅,78,419,20,24,89,434
680,鹿児島 種子島・屋久島,12,424,32,16,26,427
685,鹿児島 奄美,150,395,40,48,155,421
700,沖縄 本島北部,304,389,16,12,313,385
701,沖縄 本島南部,295,399,12,12,310,411
702,沖縄 久米島,265,399,4,4,276,404
705,沖縄 八重山,227,431,20,8,237,423
706,沖縄 宮古島,263,423,8,8,272,437
710,沖縄 大東島,331,416,4,4,324,426
